月份,货币和准货币(M2)-数量(亿元),货币和准货币(M2)-同比增长,货币和准货币(M2)-环比增长,货币(M1)-数量(亿元),货币(M1)-同比增长,货币(M1)-环比增长,流通中的现金(M0)-数量(亿元),流通中的现金(M0)-同比增长,流通中的现金(M0)-环比增长
2025年07月份,3299429.06,8.8,-0.10412496,1110586.92,5.6,-2.53684161,132844.8,11.8,0.77193489
2025年06月份,3302868.17,8.3,1.3822068,1139494.08,4.6,4.62255324,131827.18,12.0,0.43323664
2025年05月份,3257838.11,7.9,0.1875547,1089147.65,2.3,-0.20704277,131258.52,12.1,-0.09779506
2025年04月份,3251739.32,8.0,-0.27036045,1091407.33,1.5,-3.82916406,131387.01,12.0,0.5319
2025年03月份,3260554.57,7.0,1.72787322,1134863.1,1.6,3.70012789,130691.86,11.5,-1.55528979
2025年02月份,3205173.24,7.0,0.62557343,1094370.01,0.1,-2.67572953,132756.61,9.7,-6.67667549
2025年01月份,3185247.18,7.0,1.59233646,1124457.45,0.4,1.02315759,142254.48,17.2,10.96798793
2024年12月份,3135322.3,7.3,0.50439461,1113069.0,1.2,3.40865067,128194.16,13.0,3.23231728
2024年11月份,3119587.27,7.1,0.7263349,1076379.0,-0.7,2.0376648,124180.26,12.7,1.41548542
2024年10月份,3097092.01,7.5,0.07411695,1054884.0,-2.3,-0.04983845,122447.04,12.8,0.50647624
2024年09月份,3094798.24,6.8,1.45345133,1055410.0,-3.3,0.5454975,121830.0,11.5,1.9731977
2024年08月份,3050461.27,6.3,0.57369408,1049684.0,-3.0,-0.20117893,119472.57,12.2,0.53189797
2024年07月份,3033060.78,6.3,-0.56065096,1051800.0,-2.6,-3.431053,118840.46,12.0,0.93742167
2024年06月份,3050161.54,6.2,1.04869105,1089170.0,-1.7,2.32799789,117736.77,11.7,0.57580244
2024年05月份,3018506.73,7.0,0.21795739,1064391.0,-0.8,-0.99461996,117062.72,11.7,-0.21125977
2024年04月份,3011941.98,7.2,-1.1814549,1075084.0,0.6,-3.78984691,117310.55,10.8,0.08535925
2024年03月份,3047952.16,8.3,1.7485533,1117433.0,2.3,2.2206305,117210.5,11.0,-3.13976712
2024年02月份,2995572.97,8.7,0.64923204,1093158.0,2.6,-2.40706353,121009.93,12.5,-0.32011093
2024年01月份,2976250.2,8.7,1.83175235,1120120.0,3.3,64.59221387,121398.54,5.9,7.01126118
2023年12月份,2922713.33,9.7,0.3674127,680542.52,1.3,0.68635695,113444.64,8.3,2.92080267
2023年11月份,2912014.22,10.0,1.03175925,675903.41,1.3,0.17894576,110225.18,10.4,1.52887639
2023年10月份,2882276.07,10.3,-0.49653892,674696.07,1.9,-0.55237896,108565.35,10.2,-0.62961073
2023年09月份,2896659.11,10.3,0.95198997,678443.65,2.1,-0.1684402,109253.22,10.7,2.57038985
2023年08月份,2869343.25,10.6,0.53649337,679588.35,2.2,0.34987652,106515.36,9.5,0.36340447
2023年07月份,2854031.56,10.7,-0.66105508,677218.92,2.3,-2.6418458,106129.68,9.9,0.67395693
2023年06月份,2873023.83,11.3,1.86204797,695595.48,3.1,3.01257464,105419.2,9.8,0.63240818
2023年05月份,2820504.68,11.6,0.42853735,675252.98,4.7,0.81990822,104756.71,9.6,-1.08375983
2023年04月份,2808469.34,12.4,-0.21662201,669761.55,5.3,-1.22379797,105904.46,10.7,0.29657746
2023年03月份,2814566.31,12.7,2.1528753,678059.63,5.1,3.05817073,105591.3,11.0,-1.86917451
2023年02月份,2755249.23,12.9,0.62734543,657938.74,5.8,0.41583045,107602.58,10.6,-6.10701624
2023年01月份,2738072.06,12.6,2.76810581,655214.16,6.7,-2.45068015,114601.3,7.9,9.45052544
2022年12月份,2664320.84,11.8,0.65403493,671674.76,3.7,0.6944309,104706.03,15.3,4.97884903
2022年11月份,2647008.48,12.4,1.30482299,667042.61,4.6,0.74026832,99740.12,14.1,1.34470051
2022年10月份,2612914.57,11.8,-0.52106698,662140.99,5.8,-0.3602789,98416.71,14.4,-0.25878653
2022年09月份,2626600.92,12.1,1.21509905,664535.17,6.4,-0.01048443,98672.06,13.6,1.48206802
2022年08月份,2595068.27,12.2,0.65900629,664604.85,6.1,0.41891577,97231.03,14.3,0.7479495
2022年07月份,2578078.57,12.0,-0.13064861,661832.33,6.7,-1.85986781,96509.19,13.9,0.51871048
2022年06月份,2581451.2,11.4,2.1537193,674374.81,5.8,4.53680807,96011.17,13.9,0.48595004
2022年05月份,2527026.15,11.1,1.09273636,645107.52,4.6,1.40983494,95546.86,13.5,-0.08327191
2022年04月份,2499710.9,10.5,0.08097728,636139.01,5.1,-1.38355152,95626.49,11.5,0.50931282
2022年03月份,2497688.34,9.7,2.30185114,645063.8,4.7,3.7727209,95141.92,10.0,-2.14525284
2022年02月份,2441488.9,9.2,0.4305258,621612.11,4.7,1.2629538,97227.7,5.8,-8.4388976
2022年01月份,2431022.72,9.8,2.01952112,613859.35,-1.9,-5.18717197,106188.87,18.5,16.91571112
2021年12月份,2382899.56,9.0,1.14119925,647443.35,3.5,1.56260245,90825.15,7.7,3.87922649
2021年11月份,2356012.76,8.5,0.84978237,637482.04,3.0,1.82083462,87433.41,7.2,1.56545018
2021年10月份,2336160.48,8.7,-0.28466516,626082.12,2.8,0.22996077,86085.78,6.2,-0.89943153
2021年09月份,2342829.7,8.3,1.32173365,624645.68,3.7,-0.32122909,86867.09,5.5,2.1254491
2021年08月份,2312267.68,8.2,0.43932164,626658.69,4.2,1.01418023,85059.2,6.3,0.4032694
2021年07月份,2302153.82,8.3,-0.67454563,620367.05,4.9,-2.68437083,84717.56,6.1,0.43936374
2021年06月份,2317788.36,8.6,1.85671646,637479.36,5.5,3.34793967,84346.97,6.2,0.2010627
2021年05月份,2275538.07,8.3,0.59373625,616828.32,6.1,1.88404651,84177.72,5.6,-1.89462255
2021年04月份,2262107.12,8.1,-0.63173305,605421.89,6.2,-1.7352786,85803.37,5.3,-0.85537193
2021年03月份,2276488.45,9.4,1.80937578,616113.17,7.1,3.8123316,86543.64,4.2,-5.85366703
2021年02月份,2236030.26,10.1,1.03851959,593487.46,7.4,-5.12759042,91924.6,4.2,2.5655273
2021年01月份,2213047.33,9.4,1.20045223,625563.81,14.7,-0.00274625,89625.24,-3.9,6.29868897
2020年12月份,2186795.89,10.1,0.6810922,625580.99,8.6,1.12325552,84314.53,9.2,3.33472192
2020年11月份,2172002.55,10.7,1.03651292,618632.17,10.0,1.5512201,81593.61,10.3,0.68756731
2020年10月份,2149720.42,10.5,-0.66376234,609182.41,9.1,1.14065279,81036.43,10.4,-1.62003873
2020年09月份,2164084.8,10.9,1.27515066,602312.12,8.1,0.17013779,82370.87,11.1,2.90864715
2020年08月份,2136836.91,10.4,0.53534088,601289.1,8.0,1.70781275,80042.71,9.4,0.21974179
2020年07月份,2125458.462,10.7,-0.4445165,591192.6368,6.9,-2.17192478,79867.20837,9.9,0.51322017
2020年06月份,2134948.661,11.1,1.65532755,604317.9685,6.5,3.99354149,79459.40667,9.5,-0.31041635
2020年05月份,2100183.741,11.1,0.31764053,581111.0573,6.8,1.92240098,79706.8297,9.5,-2.18246366
2020年04月份,2093533.829,11.1,0.60600106,570150.4789,5.5,-0.8520659,81485.2149,10.2,-1.85130012
2020年03月份,2080923.411,10.1,2.46662579,575050.2863,5.0,4.04369961,83022.20508,10.8,-5.85669711
2020年02月份,2030830.424,8.8,0.38377083,552700.7291,4.8,1.31412003,88187.05371,10.9,-5.42858426
2020年01月份,2023066.485,8.4,1.84132247,545531.7866,0.0,-5.29112487,93249.1631,6.6,20.80554912
2019年12月份,1986488.82,8.7,1.27760183,576009.15,4.4,2.40408072,77189.47,5.4,4.34701087
2019年11月份,1961429.56,8.2,0.81357964,562486.52,3.5,0.77804305,73973.82,4.8,0.78808754
2019年10月份,1945600.55,8.4,-0.34062944,558143.92,3.3,0.18056031,73395.4,4.7,-0.99062792
2019年09月份,1952250.49,8.4,0.86582927,557137.95,3.4,0.06103828,74129.75,4.0,1.33574163
2019年08月份,1935492.43,8.2,0.83784096,556798.09,3.4,0.67896696,73152.62,4.8,0.63746703
2019年07月份,1919410.82,8.1,-0.10145781,553043.11,3.1,-2.58114649,72689.25,4.5,0.14919891
2019年06月份,1921360.19,8.5,1.59725198,567696.18,4.4,4.28773733,72580.96,4.3,-0.29877006
2019年05月份,1891153.7,8.5,0.34400552,544355.64,3.4,0.69199759,72798.46,4.3,-1.57816265
2019年04月份,1884670.33,8.5,-0.25096748,540614.6,2.9,-1.27122917,73965.76,3.5,-1.30210759
2019年03月份,1889412.14,8.6,1.17727144,547575.54,4.6,3.86673523,74941.58,3.1,-5.71574008
2019年02月份,1867427.45,8.0,0.07996633,527190.48,1.6,-3.38098968,79484.72,-2.4,-9.12980839
2019年01月份,1865935.33,8.4,2.14540788,545638.46,0.4,-1.09617583,87470.62,17.2,19.48166599
2018年12月份,1826744.21571345,8.1,0.74836405,551685.90754868,1.5,1.50639683,73208.40337957,3.6,3.74854769
2018年11月份,1813175.06539151,8.0,0.9809449,543498.66093155,1.5,0.62398046,70563.30426885,2.8,0.65141265
2018年10月份,1795561.59556379,8.0,-0.33879683,540128.36546464,2.7,0.28859224,70106.62087234,2.8,-1.61062677
2018年09月份,1801665.58145761,8.3,0.72652578,538574.08246877,4.0,0.046336,71254.26107543,2.2,2.11946931
2018年08月份,1788670.42970175,8.2,0.70230559,538324.64434997,3.9,0.31686051,69775.39303606,3.3,0.35207995
2018年07月份,1776196.10516409,8.5,0.33995061,536624.29388092,5.1,-1.34580193,69530.58976978,3.6,-0.08441476
2018年06月份,1770178.373,8.0,1.55557019,543944.71230776,6.6,3.35716862,69589.3334355,3.9,-0.26581881
2018年05月份,1743063.7923233,8.3,0.30961117,526276.71554375,6.0,0.15775977,69774.80799697,3.6,-2.38071148
2018年04月份,1737683.72947489,8.3,-0.1250531,525447.77033558,7.2,0.36438391,71476.45619813,4.5,-1.67303411
2018年03月份,1739859.47770953,8.2,0.62399781,523540.0745583,7.1,1.25795531,72692.6286707,6.0,-10.72360562
2018年02月份,1729070.11807809,8.8,0.47975283,517035.99284148,8.5,-4.82490042,81424.24340892,13.5,9.09470891
2018年01月份,1720814.46207142,8.6,1.8091651,543247.12570164,15.0,-0.09985828,74636.29008648,-13.8,5.64888809
2017年12月份,1690235.31468079,8.0654,0.65977636,543790.14519118,11.8,1.53577902,70645.59924243,3.4,2.94717122
2017年11月份,1679156.63613009,9.1148,1.00494309,535565.04954123,12.7,1.82286595,68623.15730039,5.7,0.57520929
2017年10月份,1662449.96019881,8.8771,-0.07309725,525977.19041969,13.0,1.56685311,68230.68804671,6.3,-2.17617772
2017年09月份,1663666.05438742,8.976,0.64846315,517863.03732941,14.0,-0.04842419,69748.54023602,7.2,3.25317331
2017年08月份,1652947.30031106,8.5633,1.014837,518113.92979868,14.0,1.4945314,67550.9894732,6.5,0.62856263
2017年07月份,1636341.10524859,8.89,-0.19249439,510484.57751922,15.3,0.05025429,67129.04140261,6.1,0.2259854
2017年06月份,1639497.04513491,9.1013,1.84851324,510228.16597674,15.0,2.78780593,66977.68162005,6.6,-0.52800919
2017年05月份,1609740.77375527,9.1289,0.3629818,496389.78217316,17.0,1.2667504,67333.20714106,7.3,-1.54898233
2017年04月份,1603918.84024284,9.8426,-0.25001818,490180.41972742,18.5,0.28854665,68392.5963723,6.2,-0.30967637
2017年03月份,1607938.98002212,10.1178,1.13733403,488770.09,18.8,2.56910408,68605.05,6.1,-4.35346517
2017年02月份,1589856.99535048,10.45,0.35743283,476527.6,21.4,0.84675683,71727.69,3.3,-17.17223868
2017年01月份,1584194.56383135,10.7032,2.20170504,472526.45,14.5,-2.88368691,86598.61,19.4,26.78434295
2016年12月份,1550066.66781086,11.3,1.28294541,486557.23737089,21.4,2.34572306,68303.86780278,8.1,5.23911315
2016年11月份,1530432.06,11.4,0.7204189,475405.54,22.7,2.13964157,64903.5,7.6,1.07228958
2016年10月份,1519485.4,11.6,0.20607896,465446.65,23.9,2.44451157,64214.93,7.2,-1.31198418
2016年09月份,1516360.5,11.5,0.35590012,454340.25,24.7,-0.04473718,65068.62,6.6,2.54342074
2016年08月份,1510982.91,11.4,1.30227458,454543.6,25.3,2.62096807,63454.7,7.4,0.2823977
2016年07月份,1491558.72,10.2,0.07157973,442934.43,25.4,-0.15987379,63276.01,7.2,0.72767921
2016年06月份,1490491.83,11.8,1.97009074,443643.7,24.6,4.57111797,62818.89,7.2,0.06081486
2016年05月份,1461695.11,11.8,1.14070098,424250.7,23.7,2.59872653,62780.71,6.3,-2.51922382
2016年04月份,1445209.59,12.8,-0.06834749,413504.84,22.9,0.46735115,64403.17,6.0,-0.38365871
2016年03月份,1446198.03,13.4,1.51474583,411581.31,22.1,4.86022558,64651.21,4.4,-6.87148171
2016年02月份,1424618.67792204,13.3,0.58596437,392504.69634977,17.4,-4.89014923,69421.49535554,-4.8,-4.28121337
2016年01月份,1416319.55,14.0,1.72677001,412685.64,18.6,2.92607539,72526.51,15.1,14.72704207
2015年12月份,1392278.10919881,13.3,1.33352881,400953.4400483,15.2,3.44027084,63216.57797013,4.9,4.78770468
2015年11月份,1373956.01,13.7,0.95041209,387618.32,15.7,3.14307281,60328.24,3.2,0.71412563
2015年10月份,1361020.70462698,13.5,0.08799996,375806.44967709,14.0,3.12541753,59900.47535084,3.8,-1.8394625
2015年09月份,1359824.06,13.1,0.21490625,364416.9,11.4,0.4474085,61022.97,3.7,3.32055632
2015年08月份,1356907.98,13.3,0.27320613,362793.73,9.3,2.73886387,59061.79,1.8,0.08656448
2015年07月份,1353210.92482599,13.3,1.48762013,353122.19382944,6.6,-0.83145301,59010.70768852,2.9,0.69353885
2015年06月份,1333375.36453853,11.8,1.99010079,356082.85545863,4.3,3.78826322,58604.26434477,2.9,-0.79847298
2015年05月份,1307357.63,10.8,2.07518136,343085.86,4.7,1.99103869,59075.97,1.8,-2.79154406
2015年04月份,1280779.14,10.1,0.42705403,336388.24,3.7,-0.24384767,60772.46,3.7,-1.90049009
2015年03月份,1275332.78,11.6,1.42775412,337210.52,2.9,0.82864005,61949.81,6.2,-15.01639929
2015年02月份,1257380.4784755,12.5,1.1805053,334439.22267292,5.6,-3.92700558,72896.19348426,17.0,15.6338952
2015年01月份,1242710.2185386,10.8,1.16702259,348109.50224619,10.6,0.01525424,63040.50673114,-17.6,4.61500105
2014年12月份,1228374.807,12.2,1.63567431,348056.4089,3.2,3.86205109,60259.52884,2.9,3.11609282
2014年11月份,1208605.95,12.3,0.78130022,335114.13,3.2,1.66750674,58438.53,3.5,1.29462846
2014年10月份,1199236.314,12.6,-0.23419098,329617.7321,3.2,0.73269377,57691.63764,3.8,-1.95998395
2014年09月份,1202051.41,12.9,0.38015311,327220.21,4.8,-1.44659155,58844.99,4.2,1.46106021
2014年08月份,1197499.08,12.8,0.2721241,332023.23,5.7,0.20398837,57997.61,5.6,1.13539623
2014年07月份,1194249.24,13.5,-1.2680326,331347.32,6.7,-2.96940049,57346.5,5.4,0.69436823
2014年06月份,1209587.2,14.7,2.30849864,341487.45,8.9,4.16297838,56951.05,5.3,-1.8949853
2014年05月份,1182293.96,13.4,1.15341751,327839.56,5.7,1.03458269,58051.11,6.7,-0.96293577
2014年04月份,1168812.67,13.2,0.70004121,324482.52,5.5,-0.97692366,58615.54,5.4,0.49073107
2014年03月份,1160687.38,12.1,2.55588895,327683.74,5.4,3.49265729,58329.3,5.2,-6.40498901
2014年02月份,1131760.83,13.3,0.73337467,316625.11,6.9,0.54765147,62320.95,3.3,-18.52255907
2014年01月份,1123521.21,13.2,1.53600057,314900.5525,1.2,-6.63833135,76488.59523,22.5,30.58357063
2013年12月份,1106524.98,13.6,2.52654591,337291.05,9.3,3.83875789,58574.44,7.1,3.77944637
2013年11月份,1079257.055,14.2,0.84232226,324821.9228,9.4,1.66271888,56441.27238,7.7,1.52089474
2013年10月份,1070242.167,14.3,-0.66244051,319509.38,8.9,2.29853962,55595.72,8.0,-1.58748617
2013年09月份,1077379.163,14.2,1.51921181,312330.3433,8.9,-0.55894475,56492.53112,5.7,2.85329291
2013年08月份,1061256.43,14.7,0.85953088,314085.91,9.9,1.12346741,54925.35,9.3,0.94200296
2013年07月份,1052212.34,14.5,-0.20782837,310596.46,9.7,-0.92611217,54412.78,9.5,0.64529184
2013年06月份,1054403.69,14.0,1.17394857,313499.82,9.1,1.06231219,54063.91,9.9,-0.67512514
2013年05月份,1042169.16,15.8,0.93140664,310204.48,11.3,0.83083794,54431.39,10.8,-2.11440652
2013年04月份,1032551.903,16.1,-0.31920068,307648.4202,11.9,-1.04531607,55607.15123,10.8,0.26438849
2013年03月份,1035858.37,15.7,3.73097427,310898.29,11.9,4.99658497,55460.52,12.4,-8.04648699
2013年02月份,998600.83,15.2,0.65229203,296103.24,9.5,-4.85987227,60313.65,17.2,-3.42032451
2013年01月份,992129.25,15.9,1.84576011,311228.55,15.3,0.83077978,62449.63,4.4,14.25154186
2012年12月份,974148.8,13.8,3.10281485,308664.23,6.5,3.96830738,54659.77,7.7,4.32822722
2012年11月份,944832.4,13.9,0.9000515,296883.0,5.5,1.21823931,52392.12,10.7,1.79609303
2012年10月份,936404.2792,14.1,-0.77191491,293309.7849,6.1,2.27400523,51467.71201,10.5,-3.67892152
2012年09月份,943688.7534,14.8,2.0320334,286788.2061,7.3,0.36709719,53433.4881,13.3,6.36692076
2012年08月份,924894.5865,13.5,0.63348487,285739.2653,4.5,0.93559576,50235.06154,9.7,1.06469112
2012年07月份,919072.4019,13.9,-0.63987615,283090.6809,4.6,-1.5426384,49705.84779,10.0,0.85464313
2012年06月份,924991.2,13.6,2.77123094,287526.17,4.7,3.18308241,49284.64,10.8,0.49943189
2012年05月份,900048.77,13.2,1.17408752,278656.31,3.5,1.33552949,49039.72,10.0,-2.30999145
2012年04月份,889604.04,12.8,-0.66566432,274983.82,3.1,-1.08428435,50199.32,10.4,1.21699969
2012年03月份,895565.5,13.4,3.274333,277998.11,4.4,2.84337982,49595.74,10.6,-3.60171806
2012年02月份,867171.42,13.0,1.31703991,270312.11,4.3,0.11174014,51448.78,8.8,-13.99505054
2012年01月份,855898.89,12.4,0.50587553,270010.4,3.1,-6.84404161,59820.72,3.0,17.87691291
2011年12月份,851590.9,13.6,3.16137455,289847.697,7.9,2.99603197,50748.4617,13.8,7.2514774
2011年11月份,825493.9445,12.7,1.06077196,281416.3725,7.8,1.758689,47317.2612,12.0,1.58411034
2011年10月份,816829.2489,12.9,3.73670476,276552.6711,8.4,3.50290021,46579.39223,11.9,-1.20032127
2011年09月份,787406.2038,13.04,0.83932668,267193.1613,8.85,-2.26801526,47145.28714,12.68,2.99288274
2011年08月份,780852.3021,13.5,1.02580017,273393.7738,11.2,1.05273317,45775.28649,14.7,1.31063714
2011年07月份,772923.65,14.7,-1.01139717,270545.65,11.6,-1.498901,45183.1,14.3,1.58573491
2011年06月份,780820.85,15.9,2.28077348,274662.57,13.1,1.99522892,44477.8,14.4,-0.28032207
2011年05月份,763409.2151,15.1,0.79545498,269289.6255,12.7,0.94566112,44602.83158,15.4,-1.94815414
2011年04月份,757384.5619,15.3,-0.09844185,266766.9145,12.9,0.19208412,45489.02796,14.7,1.43562226
2011年03月份,758130.88,16.6,2.98860132,266255.48,15.0,2.72182361,44845.22,14.8,-5.13012207
2011年02月份,736130.8633,15.7,0.30604715,259200.4996,14.5,-0.97969795,47270.24107,10.3,-18.58933305
2011年01月份,733884.8297,17.2,1.10670523,261765.006,13.6,-1.82150849,58063.94032,42.5,30.10603016
2010年12月份,725851.79,19.7,2.18385369,266621.54,21.2,2.77588895,44628.17,16.7,5.62339882
2010年11月份,710339.025,19.5,1.50937913,259420.32,22.1,2.41090928,42252.1624,16.3,1.45500958
2010年10月份,699776.7409,19.3,0.47456944,253313.1693,22.1,3.89270582,41646.20611,16.6,-0.49744792
2010年09月份,696471.5,19.0,1.30392603,243821.9,20.9,-0.21230283,41854.41,13.8,4.83846955
2010年08月份,687506.9183,19.2,1.99620353,244340.6421,21.9,1.52767819,39922.75944,16.0,0.95997004
2010年07月份,674051.4789,17.6,0.01925372,240664.0696,22.9,0.03494559,39543.15698,15.5,1.64069973
2010年06月份,673921.7239,18.5,1.59347736,240579.9975,24.6,1.72606805,38904.84529,15.7,0.65162824
2010年05月份,663351.37,21.0,1.03419953,236497.8831,29.9,1.10646234,38652.97161,15.2,-2.53309965
2010年04月份,656561.217,21.48,1.01758266,233909.7597,31.25,1.96681218,39657.53653,15.76,1.47632042
2010年03月份,649947.4643,22.5,2.18138732,229397.9332,29.94,2.27876776,39080.58192,15.81,-8.83036115
2010年02月份,636072.2646,25.52,1.67244553,224286.9544,34.99,-2.30935544,42865.7856,21.98,5.16996814
2010年01月份,625609.29,25.98,2.52116497,229588.98,38.96,3.67727638,40758.58,-0.79,6.56680856
2009年12月份,610224.5231,27.68,2.62692193,221445.8057,32.35,4.21312392,38246.97441,11.77,5.23641265
2009年11月份,594604.7213,29.74,1.35711645,212493.2037,34.63,2.38379286,36343.85993,14.99,1.71741044
2009年10月份,586643.2887,29.42,0.2114691,207545.7431,32.03,2.89408415,35730.22531,14.09,-2.87502353
2009年09月份,585405.3373,29.31,1.50969301,201708.1398,29.51,0.65536308,36787.88568,15.96,6.92095263
2009年08月份,576698.9535,28.53,0.62747931,200394.8261,27.72,2.30005252,34406.61982,11.52,0.48867769
2009年07月份,573102.8517,28.42,0.73589954,195889.27,26.37,1.42443116,34239.3,11.59,1.7785451
2009年06月份,568916.2,28.46,3.7669277,193138.15,24.79,6.10494964,33640.98,11.46,0.24273291
2009年05月份,548263.51,25.74,1.43988285,182025.58,18.69,2.13901317,33559.52,11.24,-2.03678642
2009年04月份,540481.2137,25.95,1.85714395,178213.5683,17.48,0.94733561,34257.26737,11.26,1.51377405
2009年03月份,530626.7118,25.51,4.72039883,176541.1313,17.04,6.25432142,33746.42278,10.88,-3.97027918
2009年02月份,506708.07,20.48,2.13102394,166149.6012,10.87,0.56608881,35141.64416,8.28,-14.46052607
2009年01月份,496135.3078,18.79,4.41291703,165214.3413,6.68,-0.60330045,41082.37115,12.02,20.05733415
2008年12月份,475166.6,17.82,3.60233999,166217.13,9.06,5.31627647,34218.96,12.65,8.2626325
2008年11月份,458644.66,14.8,1.21627339,157826.63,6.8,0.40222181,31607.36,9.04,0.92445711
2008年10月份,453133.32,15.02,0.05180187,157194.36,8.85,0.9280254,31317.84,10.59,-1.28303086
2008年09月份,452898.71,15.29,0.90276484,155748.97,9.43,-0.72722964,31724.88,9.28,2.83051587
2008年08月份,448846.68,16.0,0.55661303,156889.92,11.48,1.22424036,30851.62,10.89,0.53582619
2008年07月份,446362.17,16.35,0.72689051,154992.44,13.96,0.11128396,30687.19,12.3,1.67610297
2008年06月份,443141.02,17.37,1.58621673,154820.15,14.19,0.96214575,30181.32,12.28,0.03984183
2008年05月份,436221.6,18.07,1.60905177,153344.75,17.93,1.08760406,30169.3,12.88,-2.01467313
2008年04月份,429313.72,16.94,1.47952322,151694.91,19.05,0.54845488,30789.61,10.7,1.1715545
2008年03月份,423054.53,16.19,0.4789807,150867.47,17.97,0.45918214,30433.07,11.12,-6.22841784
2008年02月份,421037.84,17.39,0.76383852,150177.88,18.95,-3.03133692,32454.47,5.96,-11.50345689
2008年01月份,417846.17,18.88,3.58076932,154872.59,20.54,1.54303226,36673.15,31.21,20.89656205
